Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
2004;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;94936.17545;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;163618.3091;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;169850.7273;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;214282.9091;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;222285.4506;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;262380.9148;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;248945.4216;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;6981;SAGE;409614;853293;ExonMobil;3;Oil & gas exploration and production;193707.9137;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;30231.00545;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;29619.01806;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;29743.77477;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;25772.12477;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;25453.6306;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;27903.17018;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;7457;St Fergus;409800;853800;Total E & P UK Plc;3;Oil & gas exploration and production;26898.58417;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;7857;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;8963.454545;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;6127.636364;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;7540;Cruden Bay;406810;832588;BP Exploration Co Ltd;3;Oil & gas exploration and production;5438.454545;Tonnes;Scotland
