jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;10953;Uniper Centrale Den Haag;'s-Gravenhage;Kooldioxide (CO2);166509000;kg
2015;10982;Galvanisch Bedrijf Chromolux;Rotterdam;Kooldioxide (CO2);259336;kg
2015;10998;Draka Interfoam;Hillegom;Kooldioxide (CO2);761100;kg
2015;11024;Cabot B.V.;Botlek Rotterdam;Kooldioxide (CO2);235829054;kg
2015;11034;Dossche Mils NV;Rotterdam;Kooldioxide (CO2);3670000;kg
2015;11046;PURAC Biochem B.V.;Gorinchem;Kooldioxide (CO2);19882603;kg
2015;11047;Vecom Metal Treatment BV;Maassluis;Kooldioxide (CO2);434000;kg
2015;11090;Chane Terminal Botlek B.V.;Botlek Rotterdam;Kooldioxide (CO2);23982074;kg
2015;11105;Heineken Netherlands Supply B.V., brouwerij Zoeterwoude;Zoeterwoude;Kooldioxide (CO2);85727990;kg
2015;11111;Ashland Industries Nederland B.V.;Zwijndrecht;Kooldioxide (CO2);18338534;kg
2015;11230;Damen Verolme BV;Botlek Rotterdam;Kooldioxide (CO2);2004584;kg
2015;11235;RZB Holding BV;Rotterdam;Kooldioxide (CO2);81808;kg
2015;11366;LANXESS Rotterdam Botlek;Botlek Rotterdam;Kooldioxide (CO2);58381170;kg
2015;11413;Damen Ship Repair Rotterdam (locatie Pernis);Pernis Rotterdam;Kooldioxide (CO2);520336;kg
2015;11532;Coatinc Alblasserdam BV;Alblasserdam;Kooldioxide (CO2);1884667;kg
2015;11658;Farm Frites BV;Oudenhoorn;Kooldioxide (CO2);28254240;kg
2015;12134;Archer Daniels Midland Europoort BV (ADM);Europoort Rotterdam;Kooldioxide (CO2);155184987;kg
2015;12135;ExxonMobil Chemical Holland BV (ROP van RPI);Europoort Rotterdam;Kooldioxide (CO2);51557041;kg
2015;12149;Uniper Benelux NV (Maasvlakte);Maasvlakte Rotterdam;Kooldioxide (CO2);9171028793;kg
2015;12150;Uniper Centrale RoCa;Rotterdam;Kooldioxide (CO2);316056718;kg
2015;12151;Uniper HWC Blekerstraat;Rotterdam;Kooldioxide (CO2);319482;kg
2015;12152;Uniper HWC Delftsevaart;Rotterdam;Kooldioxide (CO2);6317295;kg
2015;12157;HVC ZVI B.V.;Dordrecht;Kooldioxide (CO2);12819451;kg
2015;12158;HVC Slibverbrandingsinstallatie;Dordrecht;Kooldioxide (CO2);114380000;kg
2015;12162;Evos Rotterdam B.V.;Europoort Rotterdam;Kooldioxide (CO2);13089292;kg
2015;12163;EPS BV;Hendrik-Ido-Ambacht;Kooldioxide (CO2);569998;kg
2015;12166;TU Delft Warmtekrachtcentrale;Delft;Kooldioxide (CO2);16117571;kg
2015;12167;UZIMET BV;Rijswijk;Kooldioxide (CO2);781276;kg
2015;12168;INV NYLON CHEMICALS NETHERLANDS B.V.;Botlek Rotterdam;Kooldioxide (CO2);7527164;kg
2015;12170;FrieslandCampina Maasdam;Maasdam;Kooldioxide (CO2);5131437;kg
2015;12171;Zuivelfabriek De Graafstroom;Bleskensgraaf Ca;Kooldioxide (CO2);4209602;kg
2015;12172;Promelca B.V. (Gorinchem);Gorinchem;Kooldioxide (CO2);38666540;kg
2015;12174;Ducor Petrochemicals B.V.;Botlek Rotterdam;Kooldioxide (CO2);8317500;kg
2015;12175;Air Liquide Industrie BV;Botlek Rotterdam;Kooldioxide (CO2);673085658;kg
2015;12177;VPR Energy B.V.;Europoort Rotterdam;Kooldioxide (CO2);115934700;kg
2015;19004;ExxonMobil Chemical Holland BV (RPP van RPI);Botlek Rotterdam;Kooldioxide (CO2);32127000;kg
2015;19032;Janssen Biologics BV;Leiden;Kooldioxide (CO2);3820000;kg
2015;19048;Refresco Benelux BV;Bodegraven;Kooldioxide (CO2);3590000;kg
2015;19070;Indorama Ventures Europe BV;Europoort Rotterdam;Kooldioxide (CO2);113947340;kg
2015;19072;FrieslandCampina Nederland B.V.;Noordwijk;Kooldioxide (CO2);2059263;kg
2015;19073;Westlake Epoxy B.V.;Vondelingenplaat Rotterdam;Kooldioxide (CO2);32638002;kg
2015;21010;Sonneborn Refined Products BV (Amsterdam);Amsterdam;Kooldioxide (CO2);19066166;kg
2015;21011;Rütgers Resins B.V.;Uithoorn;Kooldioxide (CO2);4337000;kg
2015;21101;Ketjen Netherlands BV;Amsterdam;Kooldioxide (CO2);64587581;kg
2015;21102;ICL FERTILIZERS EUROPE C.V.;Amsterdam;Kooldioxide (CO2);12800000;kg
2015;21301;LANXESS Manufacturing Netherlands BV;Amsterdam;Kooldioxide (CO2);4978951;kg
2015;21302;Abbott Healthcare Products BV (Weesp);Weesp;Kooldioxide (CO2);13282203;kg
2015;21304;Givaudan Nederland B.V. (Naarden);Naarden;Kooldioxide (CO2);4330000;kg
2015;21403;Norit Nederland BV (Zaandam);Zaandam;Kooldioxide (CO2);38887379;kg
