identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104565;SYND MIXTE DU LAC D ANNECY;2006;Eau (indirect);Mercure et composés (exprimés en tant que Hg);13.2;kg/an
0006104565;SYND MIXTE DU LAC D ANNECY;2006;Eau (indirect);Zinc et composés (exprimés en tant que Zn);142;kg/an
0006104577;HACER TRAITEMENTS DE SURFACE;2006;Air;Tétrachloroéthylène (PER, tétrachloroéthylène);13000;kg/an
0006104577;HACER TRAITEMENTS DE SURFACE;2006;Eau (direct);Chrome et composés (exprimés en tant que Cr);68;kg/an
0006104577;HACER TRAITEMENTS DE SURFACE;2006;Eau (direct);Cuivre et composés (exprimés en tant que Cu);228;kg/an
0006104577;HACER TRAITEMENTS DE SURFACE;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);537;kg/an
0006104577;HACER TRAITEMENTS DE SURFACE;2006;Eau (direct);Zinc et composés (exprimés en tant que Zn);137;kg/an
0006104582;Reboul SAS;2006;Air;Hydrochlorofluorocarbures (HCFC);510;kg/an
0006104583;ALPINE ALUMINIUM;2006;Air;Composés organiques volatils non méthaniques (COVNM);137000;kg/an
0006104583;ALPINE ALUMINIUM;2006;Eau (direct);Fluor et ses composés (F);20.8;kg/an
0006104605;STAUBLI FAVERGES;2006;Air;Dichlorométhane (DCM, chlorure de méthylène);1700;kg/an
0006104606;ST DUPONT;2006;Air;Hydrochlorofluorocarbures (HCFC);1980;kg/an
0006104624;SIVOM DE LA REGION DE CLUSES;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;29600000;kg/an
0006104624;SIVOM DE LA REGION DE CLUSES;2006;Air;Acide fluorhydrique (flurorure d'hydrogène);118;kg/an
0006104624;SIVOM DE LA REGION DE CLUSES;2006;Air;Antimoine et composés (exprimés en tant que Sb);1.21;kg/an
0006104624;SIVOM DE LA REGION DE CLUSES;2006;Air;Cobalt et composés (exprimés en tant que Co);0.36;kg/an
0006104634;BOUVERAT INDUSTRIES;2006;Air;Trichloréthylène;18300;kg/an
